number,personnummer
SE8902OEOM69074820694982,361223-8190
SE8902ZPXV99953519204202,361223-8190
SE8902IFQR53092308854269,010819-2915
SE8902SNTF95279666195529,010819-2915
SE8902HSBP85051707021176,010819-2915
SE8902HHRB37731951217173,830304-0193
SE8902BQMD08495656622319,830304-0193
SE8902UDHZ97810086201983,830304-0193
SE8902DKGL05263689539023,641013-8579
SE8902YRMM27818499157642,710516-8236
SE8902QBJU48285545311827,740316-2550
SE8902QJJC66980137358707,400611-4310
SE8902KVAK28917629294820,760918-6452
SE8902GYDJ79901773061683,680403-4699
SE8902DDPN38494413179386,020113-8070
SE8902ZKZI53742913677624,020113-8070
SE8902SMEN66982166267802,020113-8070
SE8902YUTJ92884606652331,450814-5291
SE8902BOMC33907949835030,790905-0960
SE8902PFXV26279842153974,880516-8179
SE8902YXBY15728996594686,680530-1600
SE8902LNRH23827965339755,680530-1600
SE8902FNII57196986671320,680530-1600
SE8902BJZI02769784324689,550920-1330
SE8902JOUY80486050372530,550920-1330
SE8902KMHR37818950397919,740324-7690
SE8902DVMW47021992301578,380827-0593
SE8902BUGG99469999268316,380827-0593
SE8902PBIW30011757227628,770703-0164
SE8902DKDV39301644618937,770703-0164
SE8902MOER82232856654070,010202-4973
SE8902HPUA63298198028138,010202-4973
SE8902SAAS45009568739919,010202-4973
SE8902IFTV45914273013389,910427-5749
SE8902IFKO11305456743775,671022-3337
SE8902XHOB54363241632446,371203-9753
SE8902QNLW32410465375826,371203-9753
SE8902OEDJ16645878939778,371203-9753
SE8902AZCJ34918120321272,371203-9753
SE8902WPHL32329175684552,581014-3163
SE8902IWOX62014959781861,581014-3163
SE8902RDGG19919929782660,581014-3163
SE8902AATM65113503541119,581014-3163
SE8902WDQP86401050581224,981031-5714
SE8902RSQK07530336916695,981031-5714
SE8902VOVQ30938789200837,841221-6098
SE8902JXIW53114327570776,841221-6098
SE8902PZOD95284482487556,841221-6098
SE8902KSZX19805554363031,720802-1092
SE8902YGCP33752044731486,720802-1092
SE8902RDNL91365756169597,560722-3962
SE8902PJLT23740498738943,651228-1533
SE8902FMJT85003375468035,621221-8439
SE8902AEQJ97044224731438,791105-7318
SE8902TJIS91982698708838,820713-5859
SE8902NNPO32270460751106,820713-5859
SE8902CLKE27603528615817,401010-7821
SE8902BSVA21110234582979,401010-7821
SE8902HEXR67420014606110,401010-7821
SE8902VHGB89375184727781,681202-2447
SE8902TWFA09444632905395,681202-2447
SE8902FVHN39495333689229,681202-2447
SE8902MJGO82608964017389,890401-8192
SE8902NSEL44785492868446,890401-8192
SE8902WOII80941988729719,620109-6911
SE8902GWFN53836172198642,570225-6891
SE8902OFWW42714463200206,570225-6891
SE8902EEIO32120926178982,570225-6891
SE8902WOCA81616237592259,430307-5800
SE8902CINJ84660395744493,430307-5800
SE8902CLPP89327335369810,430307-5800
SE8902FWMV33635891261889,430307-5800
SE8902LUXI87913376055346,980813-4705
SE8902CCJB36121184455364,980813-4705
SE8902WWNV14831174045632,980813-4705
SE8902JZJA31554426603417,571126-4399
SE8902GQQY05754521609507,690516-5236
SE8902TYPP30001101129706,690516-5236
SE8902SGSD43591731018892,690516-5236
SE8902WIPC97174708255452,450724-8120
SE8902KNLO67215503583767,580322-7841
SE8902ETJH02290530681613,720415-4723
SE8902AJUH85251795941386,720415-4723
SE8902AKVJ14339517241760,670817-7677
SE8902AAZZ32784603345278,670817-7677
SE8902CMZI16054617545068,440726-3427
SE8902CNMG08037296664688,440726-3427
SE8902DYAF32145510798862,360718-2015
SE8902YIBX18686296958097,441025-7747
SE8902QOGT82411918877034,441025-7747
SE8902GQWR55249250193579,441025-7747
SE8902EQSL10450522788361,441025-7747
SE8902QHIC85594136647713,030514-0006
SE8902TRKY32176035596562,030514-0006
SE8902YJDF24480796274041,560610-7018
SE8902MPOT72920741409910,560610-7018
SE8902OAHK70861716441556,601210-5430
SE8902SPJM60038922234992,601210-5430
SE8902VRDK31970786547803,620814-3393
SE8902JEYG86800556121335,950323-4149
SE8902RLWE03393861225946,950323-4149
SE8902GIUD21243571783265,950323-4149
SE8902MBHI25416661313721,850428-3923
SE8902LOMU97486516259604,850428-3923
SE8902KWYN10283874927709,690518-9897
SE8902MJVN53448141616793,890326-9333
SE8902AEGM67241347515309,890326-9333
SE8902WNTK05683809343383,890326-9333
SE8902SQBW98014213919095,890326-9333
SE8902NIWO24193398977761,751230-9027
SE8902ENIU57381398416489,770422-9561
SE8902AEOP68872744631879,470911-0326
SE8902GCOR12899155118132,661016-2239
SE8902GCRY80045789473621,661016-2239
SE8902RMIR03366948579196,661016-2239
SE8902QHSI40398116494985,850616-7512
SE8902MSAR24499635675421,850616-7512
SE8902ZIZT70325031118745,520817-6429
SE8902FDTQ44344454210996,520817-6429
SE8902OLRK14929681883745,360715-9682
SE8902SZWO66860675966705,640830-0389
SE8902EHUT38956930740017,520114-1859
SE8902AXXW50050624980139,511205-1783
SE8902IXHL99399105932501,640907-6863
SE8902YRLR61656366802553,520114-6379
SE8902IBBB76794427347626,390622-9798
SE8902ORVX75782738034691,880114-4703
SE8902UJMG75535352007052,520714-8825
SE8902OKWN28902646267389,520714-8825
SE8902MPMD99811264245009,730131-0483
SE8902JJOM45604363294664,670330-7444
SE8902XOPN50088541621716,670330-7444
SE8902BKCS92343891835591,670330-7444
SE8902YVHJ42522156401912,460115-0438
SE8902HAWU21951686141204,640602-5434
SE8902LVHS64335396457755,640602-5434
SE8902HFMX47987072780628,530711-8793
SE8902RWDU36615393032914,530711-8793
SE8902LVFD54386643116103,900530-8797
SE8902EDEL42831023335290,900530-8797
SE8902OECA72149015702663,900530-8797
SE8902RRBG98040376871961,010331-3854
SE8902BOSB65998671974197,450213-8599
SE8902YSVF37110783104262,450213-8599
SE8902BFAA59502027796519,840613-3390
SE8902CUUX35991776274673,781209-4915
SE8902MEUJ12583052373274,840514-6385
SE8902AHNV89692341198492,840514-6385
SE8902NTFH01064636641044,840514-6385
SE8902MAFK91613138529780,641022-8859
SE8902LZLX90544527585788,680229-6191
SE8902JAGM21136886702516,700918-9908
SE8902IPJL84462668733092,700918-9908
SE8902KXQZ51570419970356,540701-2516
SE8902SAXR50686340728598,540701-2516
SE8902PNMZ47985736012731,540701-2516
SE8902VJRI33586922529209,450828-8802
SE8902JVNE11202882283459,900712-8805
SE8902BUEG01543905771095,540922-2501
SE8902KATB35108246964189,870102-3718
SE8902EXDO77351409949930,480229-6808
SE8902OMHQ61023228616959,770327-2380
SE8902TARQ52814552542297,610915-5900
SE8902HJCU51381730307695,610915-5900
SE8902ZUIH32054423564254,610915-5900
SE8902FOSG59896805742255,631027-0456
SE8902ABGA31604511049722,731002-1477
SE8902SPVY94972178751366,730120-4108
SE8902VXEH17556635656786,690401-1134
SE8902ZHVV98111521012860,690401-1134
SE8902ROIF90393361462445,980406-0540
SE8902UXIT41676896878078,980406-0540
SE8902SVRR14245541362131,050903-1266
SE8902ZQCM12469422476399,820112-8934
SE8902JMYP35839764449656,820112-8934
SE8902NQPR37480978954996,070318-4895
SE8902XVZB53807385574494,070318-4895
SE8902IILS20920256766703,761013-7551
SE8902KYNC59297637470343,000723-9320
SE8902LYWC73141366562379,000723-9320
SE8902ACBU41545762793300,730913-5205
SE8902KYLZ91691163898855,001227-7703
SE8902YSER23809809823330,001227-7703
SE8902SVOJ32793267590900,660108-3352
SE8902FSBM50881895225169,931123-6559
SE8902SPDW36248491049541,931123-6559
SE8902YWOR66141106925315,820225-0430
SE8902ETKQ88425525618595,820225-0430
SE8902PZAZ20070100515651,530915-7518
SE8902VRMQ26366074373381,530915-7518
SE8902YJUN28649613685861,710209-0136
SE8902QEWI25966475772351,710209-0136
SE8902LFWM72503172970805,891212-8025
SE8902TRCO62989417471868,891212-8025
SE8902DFUR20294844807414,891212-8025
SE8902XVJM59989238097967,990818-7744
SE8902IFPV72140679061770,361111-4145
SE8902QYTI30134710825653,361111-4145
SE8902LCFJ99564345040191,361111-4145
SE8902LWOF30774901338793,361111-4145
SE8902YRRA01363037551827,670530-9463
SE8902FBWR45134219538438,830921-8272
SE8902UBZM65701401105939,031224-5145
SE8902POEQ50630253340435,720509-9109
SE8902DQAB77009980605702,720509-9109
SE8902CXQQ95524321022219,030409-6332
SE8902HZCR79182239930135,990624-6831
SE8902YCFT26248183967563,890613-4914
SE8902NMWD24000286452931,890613-4914
SE8902DFUH70937402764860,361229-0233
SE8902CWDO20077844008455,361229-0233
SE8902FKKA04604006870259,521003-1299
SE8902IABM71838135855326,521003-1299
SE8902VPQT37699173009844,420821-8919
SE8902OSSE16603512853960,950108-5667
SE8902IKXB56316133626800,701209-0341
SE8902BJON09518259687429,701209-0341
SE8902OLOZ02170280138462,800905-3813
SE8902AAGM52051231782998,800905-3813
SE8902XNRB01969727086641,570622-6783
SE8902ICTV53897447828239,570622-6783
SE8902YSBY00812500118146,970516-7626
SE8902KBVF13029770329223,970516-7626
SE8902KVWH71287046708619,970516-7626
SE8902OASF14087169723254,501224-6467
SE8902XYFL77134268003997,501224-6467
SE8902EGAU44847412777337,530816-5231
SE8902MHYZ08408003997445,530816-5231
SE8902ONOK52614437126010,540509-5778
SE8902GMRX38439893605753,540509-5778
SE8902UCDM83435036816918,410315-8186
SE8902BURV58798816321857,410315-8186
SE8902BHYT34889245308568,610419-8863
SE8902QHUH19874587550707,620816-1684
SE8902IGJG42825638310983,470310-8037
SE8902REPB36443168681858,470310-8037
SE8902REDG68030564852485,010209-0586
SE8902ZHVU99937869772842,480723-9480
SE8902QWQQ86008373248115,480723-9480
SE8902BPRF86991817921482,690219-4049
SE8902SVHZ40527211740813,690219-4049
SE8902XIRD62021462144304,991112-0872
SE8902BVPP11722561909890,991112-0872
SE8902NXOC67295124940565,991112-0872
SE8902CIAL03937645988715,930802-1600
SE8902ZQHA53957175041781,930802-1600
SE8902YRRR37134570492392,881222-9030
SE8902YNZE15033483705861,881222-9030
SE8902RNER71700945656875,480411-9735
SE8902IAHV26752836143814,860513-4603
SE8902ADOS04660130698652,790228-8765
SE8902JLJH61154131542583,790228-8765
SE8902EXIB33653688394695,790228-8765
SE8902KAND96978722587730,680125-3862
SE8902YMSM74745884812450,551116-3668
SE8902NXJY73173246535128,480119-8963
SE8902CYQC46682846018386,480119-8963
SE8902LIHB80150065226412,050713-9863
SE8902HRJJ07032534595815,040402-0190
SE8902NJNO71292435669410,460629-3696
SE8902PVWI60822318135818,940928-6961
SE8902VSTM42148590412545,040103-9896
SE8902DXFF41444891693538,780405-7052
SE8902HZDD35456836189006,920220-1050
SE8902PBTS55285525903827,920220-1050
SE8902WTFD23651921285545,460908-3243
SE8902FZGW85161075734916,671117-3887
SE8902GPOD99006338563817,771219-4575
SE8902YRAS19706903348525,771113-6304
SE8902WUYX84984211191528,540812-8204
SE8902ZONH09524321891052,031014-5602
SE8902SFZQ21119178952770,031014-5602
SE8902YAIY48900253729953,991008-9805
SE8902NGDD82045884942023,991008-9805
SE8902IGFR09709190696891,711228-2020
SE8902SDKC53939897005122,711228-2020
SE8902TOWZ84199421608771,910713-7995
SE8902KLID41042863819347,530710-2722
SE8902EFPE75418536242597,530710-2722
SE8902ZAUK91622162952240,530710-2722
SE8902UMVZ90861687703651,510622-7423
SE8902USUX47630735390761,510622-7423
SE8902HPSF83946072962127,881124-3487
SE8902HQAX24109353987935,881124-3487
SE8902KCCL74261469026133,060606-2966
SE8902MYSJ36785036389884,971018-8674
SE8902SBKR74537144087144,971018-8674
SE8902KKNI73122844462664,971018-8674
SE8902LJFE17402265899473,780823-7106
SE8902IFYW58294657050649,780823-7106
SE8902CLAF22088594438646,780823-7106
SE8902TCVN64620007776552,780823-7106
SE8902AUEU02373801535567,020408-0774
SE8902DELJ05746900587491,960509-8483
SE8902ZUTM99843810815634,550716-9935
SE8902ONEQ83766006335630,960311-5800
SE8902PBYT31821212795892,530430-8348
SE8902WCYY27213758450336,540526-8854
SE8902ILZI35949482301412,570213-6721
SE8902XMWU73408358252236,601212-1551
SE8902PCBN99920357884711,601212-1551
SE8902IZTK78997933116030,601212-1551
SE8902HIDK89051118545185,841203-0994
SE8902AQSD69653171337159,841203-0994
SE8902KJCQ70293334969600,981118-4556
SE8902USWM75960195630724,810429-3249
SE8902QOCL10314177175172,810429-3249
SE8902ADUP42656009488269,810429-3249
SE8902ZNXF37359255801506,810429-3249
SE8902HVJU59280905617832,660510-2315
SE8902FTFH30353856634469,660510-2315
SE8902SARX23297475568684,950321-1055
SE8902TZPA40303132128117,950321-1055
SE8902BRZY58744743598269,950321-1055
SE8902ZFPB43514179563467,650307-4798
SE8902KQCR38268845232382,650307-4798
SE8902JUTD53749123383746,470901-6937
SE8902TIKJ28529081186459,470901-6937
SE8902TYLT40345582138055,470901-6937
SE8902EXFS28783702929778,431018-4967
SE8902UDED11242220219330,431018-4967
SE8902SEOH55592315458862,350703-1247
SE8902GBSA48628244980908,681014-8830
SE8902IRSN48363289687931,681014-8830
SE8902RMMF57658230023950,611003-9614
SE8902AQYT55466061009593,450813-2893
SE8902UOZP06381145500232,060816-6617
SE8902PUJC65150069126684,030406-2698
SE8902RWEK30581396134761,791104-3433
SE8902MBLN98698078214773,720703-0235
SE8902PBTW03036587338892,001008-4424
SE8902UQVG98865511733208,711002-8938
SE8902RRZA54949356708764,711002-8938
SE8902SEMQ78628367515041,711002-8938
SE8902DKHK20712159547418,490401-2814
SE8902JDBK78801050964059,490401-2814
SE8902NWRQ91553124445897,800113-0551
SE8902BGXZ28785412485874,800113-0551
SE8902YYCO88509625192877,380728-9636
SE8902VVEC09411675567086,380728-9636
SE8902CZZV03210142886950,380728-9636
SE8902YXGG21330540090917,380728-9636
SE8902IGPV25805639452120,640505-2280
SE8902LEBQ34484824716381,700418-2494
SE8902ERNA19462716907689,700418-2494
SE8902GDTQ04266575650099,550107-8744
SE8902SOYR59886329051324,550107-8744
SE8902RDRK72349443062642,550111-5207
SE8902ANHE69104787829780,970215-6895
SE8902XBCE58002966066846,970215-6895
SE8902ZXBA03536655506503,960815-3269
SE8902DIRT22306886920827,960815-3269
SE8902AQJO89998864993452,620310-8177
SE8902OBJM92001280950136,591006-9508
SE8902CFYX41825097298021,591006-9508
SE8902NKQD67441527476901,950327-5845
SE8902SXSR79368601524962,950327-5845
SE8902TZRI36556189865002,490627-6623
SE8902QAJL37790123676980,490627-6623
SE8902QDXU96051978299389,891101-6742
SE8902MIXK52256048746462,891101-6742
SE8902IJSQ03004559813496,471021-0214
SE8902ZIYZ32091394621221,661101-9396
SE8902IMBV21782603473256,020115-4580
SE8902ILYV54908324507359,020115-4580
SE8902CARJ80795349413197,570201-8119
SE8902NFSW96446848690649,701027-7676
SE8902VISV26606115246910,701027-7676
SE8902SWFR35893590471977,431104-1976
SE8902TXKQ54669002424154,431104-1976
SE8902CMID66051462454520,050411-1055
SE8902AVLH25460864385567,540924-8092
SE8902OABV60015877716559,540924-8092
SE8902NVOQ64983229159879,600218-4395
SE8902HKIS28140752808933,511202-6207
SE8902ARGK95467948326629,511202-6207
SE8902GXXP17738713863102,511202-6207
SE8902AFBJ57409290452225,511202-6207
SE8902APSD78213305556232,850513-2269
SE8902BTEZ26557538989061,850513-2269
SE8902HKMO05656230964346,630602-1095
SE8902MBFA83036715543859,040821-0698
SE8902MVZJ65066103207787,040821-0698
SE8902OUWA68031360560819,360720-5543
SE8902TGNG49291158971768,360720-5543
SE8902QXAY86380659658844,360720-5543
SE8902SEZT63377163386089,360720-5543
SE8902VTPB36927643178790,440302-5705
SE8902UUAN85177253203395,050703-6168
SE8902WINX09497163385736,050703-6168
SE8902BYTT19342387644139,940204-9481
SE8902YIDX90394480287854,940204-9481
SE8902BUUS78555061869317,940204-9481
SE8902PHGG50254037368588,040107-6179
SE8902XXJI39688202210645,400320-9493
SE8902UWDI14934079968893,780323-6244
SE8902EHIU22854289360535,450329-2510
SE8902HDTF05785812830234,450329-2510
SE8902VLNO38011298936062,450329-2510
SE8902CLZK45975411829671,450329-2510
SE8902BAIR01152250764262,740714-9694
SE8902IUFL37182741392510,740714-9694
SE8902PDHO00757001156563,740714-9694
SE8902BIKJ22071123794483,560804-3922
SE8902JFSE30297297014159,560804-3922
SE8902VKKZ33314704720446,981230-5465
SE8902CAWA90390066376868,981230-5465
SE8902UBQE57340544592430,910907-4386
SE8902DRTY95171710679269,910907-4386
SE8902JCWH51689434156597,890314-8347
SE8902VRSA79472131764908,890314-8347
SE8902RCRI11210536987906,890314-8347
SE8902GEMZ32337979772633,890314-8347
SE8902EQIU70416981548888,900221-7785
SE8902HWXX85289392239144,900221-7785
SE8902HOAR76753582651027,900221-7785
SE8902DUAG90847567672926,350920-5922
SE8902WDFV26201172115898,740605-1701
SE8902NEQA68423861035819,061127-9555
SE8902DVZT76098361177729,550503-6094
SE8902CTOL66130177783961,771007-2328
SE8902TLVN08996057650298,771007-2328
SE8902FOBQ79093635241485,860920-9096
SE8902FMHL21633471300221,551109-9953
SE8902BUSQ14594293563574,551109-9953
SE8902FPPL01400439617541,551109-9953
SE8902DDYK91448562107456,520517-0052
SE8902YIBT95563251387197,520517-0052
SE8902JXTL34743461408532,480921-9555
SE8902QUVK34053196832367,480921-9555
SE8902CROF85183628265404,630219-9457
SE8902GFDB55209282464695,921012-0359
SE8902YWMN86299474959364,921012-0359
SE8902CEVD52560843591938,930809-7303
SE8902EPPP11876302793967,010509-0286
SE8902IAMU23934107119714,500329-4336
SE8902NIXR76217177532936,500329-4336
SE8902IBML71805915030739,861223-6326
SE8902KPIZ03782010582028,861223-6326
SE8902LZNY98515870876437,041219-0407
SE8902ADJW88181481814442,041219-0407
SE8902GJGO81998026653225,820602-8097
SE8902LSMF61649784464385,761101-0625
SE8902BLTU23615299674283,761101-0625
SE8902YOSZ97253800265776,761101-0625
SE8902GUNZ66077737211893,530806-4194
SE8902ZMTT64634848144751,470703-9972
SE8902BVXX65136241270086,561014-8875
SE8902JJMT50451734303855,561014-8875
SE8902HAJN05420370500968,920502-8963
SE8902DKEI24538903367547,920502-8963
SE8902UBZY42420742654613,550608-6650
SE8902UIGL63256138594433,870122-3813
SE8902SLEK14821816941222,591024-3814
SE8902LRAP01135571962907,591024-3814
SE8902WQNH22089611973896,591024-3814
SE8902IKDV65851419590384,401212-3586
SE8902IYGT10805667419165,401212-3586
SE8902PZXC28271888927329,560920-8375
SE8902ITJX66553943593787,691019-7521
SE8902YAAI12129793257807,691019-7521
SE8902NVQD71265390083232,830712-1833
SE8902XTAF09702929973737,830712-1833
SE8902UTCN43899863766689,790911-2018
SE8902SHWL66579301942519,931011-3338
SE8902VSZE62906257232186,381027-0102
SE8902CASK39265821879684,490622-2668
SE8902IYMB27114409415276,490622-2668
SE8902XIVG18316797897983,850524-3777
SE8902MJKW35393419370907,370609-7262
SE8902MXSC42813742323692,370609-7262
SE8902ZKAB71929181349934,370609-7262
SE8902NCMQ86104783306224,051103-0785
SE8902IGAA89058882266736,770104-2256
SE8902TUHP45975930667327,841219-8064
SE8902NWBT84155532113390,740215-4509
SE8902AZWF75975565916273,710426-4408
SE8902STOV95749162393764,941021-9134
SE8902CNUD07189979630401,560427-5619
SE8902TRHO02165627205546,891010-9514
SE8902BUOA18534669231152,891010-9514
SE8902ZBNR16522841321077,891010-9514
SE8902LPQL92553232101892,430330-8755
SE8902FKGP51300951110508,430330-8755
SE8902SBRK56893903746862,430330-8755
SE8902LURP58606872920450,490807-5015
SE8902THRJ34175037611129,601211-4945
SE8902PVOO15104016312310,601211-4945
SE8902DCPW48289275323674,601211-4945
SE8902VWUF23468673116838,561214-5523
SE8902XPGP64746722412276,381209-0904
SE8902DGQN19511874636720,381209-0904
SE8902NSCK48583902247407,381209-0904
SE8902TAGP05696623043766,471003-6650
SE8902PHWM15896816381763,471003-6650
SE8902ZDKY31012668904698,031222-6376
SE8902HHTW03964446259862,031222-6376
SE8902LVSV80931232568079,720829-9201
SE8902HHCT88020226609954,720829-9201
SE8902OPJP99340886991741,720829-9201
SE8902FCQC45454489492127,871211-8242
SE8902EMJS86372991847242,871211-8242
SE8902PBAJ35184358238612,440416-6722
SE8902TJBY61470456909170,440416-6722
SE8902BKLE50346716165278,631203-4116
SE8902UJMZ79242324287202,631203-4116
SE8902DHYM88033878427043,580426-9727
SE8902TJTV07417638590234,620425-9557
SE8902ZWUQ80611398466416,620425-9557
SE8902NEPI95848076786352,620425-9557
SE8902VHUN70101140465022,541122-7829
SE8902OITA14634617944010,560311-3571
SE8902HGJI94812001566085,741220-8048
SE8902YLKU32227128491828,440214-0406
SE8902YNGA29934414820953,510226-2606
SE8902TAHT06914345447156,381003-3823
SE8902KGDQ60579512001596,630118-5713
SE8902RQOR29026101545160,920701-6669
SE8902EZKH53128082063957,710226-5480
SE8902ZYLN23396197039191,850430-9793
SE8902XWVR64729918365263,770714-4973
SE8902CIMK67512098166572,560222-0732
SE8902FCEU41145562552939,840223-0422
SE8902TGRY08320925103936,840223-0422
SE8902LBEJ82420799986072,840223-0422
SE8902YMXS32105990652444,781004-9135
SE8902ONRC14427291149006,480820-8468
SE8902DMOY69810883419522,451004-0902
SE8902XSCG01550337953157,390305-5873
SE8902TIZR68347778757471,390305-5873
SE8902WNWL93082435989385,570925-4246
SE8902ORUJ49015937608362,750520-8988
SE8902CPIS18550455661381,660323-2783
SE8902TRFZ84125280650981,880717-6352
SE8902MUUZ43000365207938,610228-6587
SE8902QAUK57794442680583,610228-6587
SE8902XTZK39913064351199,680516-0394
SE8902BIAU90313372445465,680516-0394
SE8902OLCS47824775776058,440902-7432
SE8902JZYF06547820263799,720503-4221
SE8902GOEZ24828264315434,591018-3481
SE8902AHXN75154513430499,040102-2975
SE8902AIJO89702227296387,040102-2975
SE8902NEXY57412770301700,040102-2975
SE8902FCFV09687035047874,760822-3298
SE8902KCPY87115608421695,851103-4939
SE8902ZULJ12090657403842,851103-4939
SE8902IOSH72112913547339,580817-5383
SE8902WCRZ14785108361870,580817-5383
SE8902SRXH84953725796179,580817-5383
SE8902HKBI84934785348509,580817-5383
SE8902VTUP47297286356491,480114-5063
SE8902ESFB28538139368426,980627-8330
SE8902RBCK97946450120118,980627-8330
SE8902ADJS67737322542558,530719-5718
SE8902YIRB82459457810481,871027-0995
SE8902XXVD80028114418790,850913-5904
SE8902ZSJW29392145750717,850913-5904
SE8902APWS33564004625903,731008-6017
SE8902OKKV42645750279691,731008-6017
SE8902FIBP50256283410228,731008-6017
SE8902KRPD58171276583171,731008-6017
SE8902OBXZ56346380224186,531117-5854
SE8902OPUQ36707710042361,690102-2837
SE8902UJDY44233553689080,380323-6516
SE8902AHEZ55771315117369,380323-6516
SE8902DRLW66965762909337,380323-6516
SE8902VOXQ48859875067355,980604-7990
SE8902LZQY92721481049992,830603-5943
SE8902IVUK70685762740591,830603-5943
SE8902GPEX80518454024672,961124-1606
SE8902JOBE69136994958553,961124-1606
SE8902MLOB78786110729072,961124-1606
SE8902VNXY53570139577836,981116-2669
SE8902FJJE75414753122928,981116-2669
SE8902ONRA48891921866606,590109-1248
SE8902IADF98077782900234,650925-0962
SE8902KSPX69896925390721,741021-5953
SE8902KVVI97729921023785,550113-7516
SE8902WWFI52062833756214,550113-7516
SE8902VWWD02650237880124,550113-7516
SE8902SDKA82949389178098,530918-1211
SE8902XDLP91559799357994,621008-1649
SE8902OOXR52639706232687,621008-1649
SE8902XOUM01449555974382,730620-1356
SE8902JQNZ90865793659671,730620-1356
SE8902YSQJ08254526995556,960302-3178
SE8902LLDI67219628696469,960302-3178
SE8902FGVT78270418758930,380202-3196
SE8902GCAM50139873832687,380202-3196
SE8902FJRZ14744000547809,721108-5993
SE8902LPFD37955850241119,960415-0962
SE8902NYAZ48924591107358,960604-5384
SE8902SSPJ00701476972617,960109-0682
SE8902PAUD14800167956656,590605-8127
SE8902HUSH51303338766095,060725-4562
SE8902RZSQ95960445465287,650722-9190
SE8902QVNF12747288122281,891228-1949
SE8902WNCI10087315743133,980410-2961
SE8902VUKN59185275431431,980410-2961
SE8902TZPP25953879912562,980410-2961
SE8902RZTB83071724124671,850825-9796
SE8902KJOF66901288434847,850825-9796
SE8902DXCQ82477858496825,571206-2362
SE8902KGZA81337359607414,571206-2362
SE8902JILG84948498838779,571206-2362
SE8902ZONH73207611245633,360810-6724
SE8902PVKW44410885827912,351209-0758
SE8902GWVM62767929461194,001222-5074
SE8902VZIC84190990824786,001222-5074
